binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,pd qcut2,random choice 4,random choice 2,target,semi_constant_1,min max scaling,outliers 1,pd qcut3,constant_2,uniform corr 2,constant_1,multicollinearity 3,duplicate_2,random choice 7,correlated w target 2,multicollinearity 1,duplicate_1,uniform corr 1,multicollinearity 4,standard scaling,semi_constant_2,correlated w target 1,random label num 13,outliers 2,corr_feature_class,informative_1,multicollinearity 2,random label num 4,informative_2,pd qcut1,class
binary_2,Shane,Mendoza,04-06-1954,,michael50@example.net,823 Katie Stream Suite 188,,MI,73043,,East,Rand Choice 1,-0.904223674,q_const_0,361.2949901,-3.139171079,G4,constant_value,0.564750859,constant_value,,-0.663859997,Monday,,-0.075053674,-0.999101782,,-0.552664143,51718.69503,q_const_0,0.109861055,label num hi 7,,-0.468510945,-0.999101782,0.328596616,label num lo 2,-0.663859997,Low,1
,Teresa,Haney,14-07-1923,001-431-690-1160x342,joshuagraham@example.net,7882 Reynolds Isle Suite 598,,WV,,,,Rand Choice 2,2.324369783,q_const_0,334.3907904,-0.764456299,G5,constant_value,0.441038062,constant_value,,1.153596854,,,-0.945076958,1.246686183,,0.214752414,32320.59478,q_const_0,3.514334174,label num hi 3,3.624024153,0.864618948,1.246686183,,label num lo 4,1.153596854,High,1
binary_1,Jessica,,06-09-1989,490.633.0179x173,elizabethperez@example.com,,,MA,50989,,West,Rand Choice 1,1.778216555,q_const_0,372.0477054,-0.562889893,G5,constant_value,0.607680956,constant_value,,0.859397466,Sunday,,-1.73290143,0.962776827,0.801490926,-1.393223677,41246.48177,q_const_0,2.395081807,label num hi 6,,0.42754754,0.962776827,-3.011913491,label num lo 2,0.859397466,High,1
,,Jennings,01-07-1909,(992)673-5294x88072,john20@example.com,7340 Fox Pass,,RI,64545,Q4,West,Rand Choice 2,5.451234575,q_const_0,401.6557049,-1.062327131,G6,constant_value,0.516615633,constant_value,1.327184119,2.033645288,Friday,3.045198061,-0.124943784,-2.957440951,,1.702543205,37831.41927,q_const_0,2.577450354,label num hi 10,,,-2.957440951,1.03487023,label num lo 2,2.033645288,High,1
,,Hunter,08-02-1938,522-426-5009,nancy25@example.com,,,,,Q3,North,Rand Choice 2,2.153925847,q_const_0,470.753822,-0.676593818,G5,constant_value,0.68804864,constant_value,-1.436051796,1.059448634,Thursday,-0.735421961,-0.267209635,1.141165272,0.380404927,-1.583416334,57137.46205,q_const_0,-0.965368398,,5.409361646,0.677767017,1.141165272,0.360292865,label num lo 2,1.059448634,High,1
binary_1,Christine,Arias,12-08-1966,860-365-0083x4492,,7261 Nelson Valleys,North Carlaville,AK,,Q4,East,Rand Choice 2,4.626787069,q_const_0,299.1166844,0.219653698,G6,constant_value,0.889274717,constant_value,,2.399635889,Thursday,1.109213432,0.484618614,2.485477864,,-1.34257119,39647.72645,q_const_0,3.744180144,label num hi 12,3.775183081,1.08426639,2.485477864,-0.147810854,,2.399635889,High,1
binary_1,,Hall,26-04-1929,,churchlisa@example.net,,West Kayla,OK,88279,Q2,South,Rand Choice 2,-1.187224232,q_const_0,212.0459769,-1.228966657,G3,constant_value,0.142852573,constant_value,0.621050291,-0.747560845,Thursday,,-0.734897382,-0.647963674,0.072447394,0.75459723,66493.96662,q_const_0,-3.873573517,label num hi 11,2.909226436,2.305766394,-0.647963674,-0.177145865,label num lo 2,-0.747560845,Low,0
binary_2,Paul,,07-03-1910,,douglas56@example.org,45448 John Pass,Hawkinstown,KS,92338,Q2,East,Rand Choice 1,-1.266374292,q_const_0,235.9231415,-0.74781103,G3,constant_value,,constant_value,-0.55363048,-0.818222443,Wednesday,,-0.520955968,-0.892232813,0.126464682,-0.787888316,47230.90791,q_const_0,1.499593459,label num hi 11,,-1.522666791,-0.892232813,-1.311895006,,-0.818222443,,0
binary_1,,Carlson,17-04-1922,,pwarner@example.com,,,,,Q3,,Rand Choice 2,0.241110563,q_const_0,416.8101639,-4.609544086,G4,constant_value,,constant_value,0.765465789,-0.091546668,Sunday,1.094902853,0.297516821,-0.727335983,0.494376872,,45442.58848,q_const_0,1.55352008,label num hi 8,4.322951356,0.79870651,-0.727335983,-0.569141527,label num lo 2,-0.091546668,High,0
binary_2,,,29-03-2020,,sarah54@example.com,649 Bethany Track,,MT,,,,Rand Choice 1,-3.93556439,q_const_0,241.0269622,0.613875507,G1,constant_value,,constant_value,-0.14761312,-1.806933347,Wednesday,,0.221258308,0.975364321,,-0.115050951,43963.93727,q_const_0,-5.374044949,label num hi 11,,-5.051450353,0.975364321,,,-1.806933347,Low,0
